issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
conflict,1,"AMDBRH","Rubber Hex Dumbbells","Mixed Implements","Net weight","10","9 kg","Decide which is correct, then set the net_weight field to it",/product/rubber-hex-dumbbell-alt-v
conflict,1,"AMDBRH","Rubber Hex Dumbbells","Mixed Implements","Gross weight","11","10 kg","Decide which is correct, then set the gross_weight field to it",/product/rubber-hex-dumbbell-alt-v
conflict,1,"AMDEHG","High Grip Dead Ball","Mixed Implements","Assembled size","280 x 280 x 280","230 x 230 x 230","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/high-grip-dead-ball-alt-v
conflict,1,"AMDEHG","High Grip Dead Ball","Mixed Implements","Net weight","12","9 kg","Decide which is correct, then set the net_weight field to it",/product/high-grip-dead-ball-alt-v
conflict,1,"AMDEHG","High Grip Dead Ball","Mixed Implements","Gross weight","13","10 kg","Decide which is correct, then set the gross_weight field to it",/product/high-grip-dead-ball-alt-v
malformed,1,"MRSPSE01","All-In-One Trainer","Rigs & Racks","Warranty","10 years frame, 90 days cables and upholstery","10 years frame, 90 days cables and upholsterymonths","Source reads ""10 years frame, 90 days cables and upholsterymonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/all-in-one-trainer-2
conflict,1,"SCRWAR04","C2 Rower Model D PM5 Black","Rowers","Assembled size","24,400 x 6,100","2,440 x 610 x 1,150","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/c2-rower-model-d-pm5-black
conflict,1,"SCRWAR04","C2 Rower Model D PM5 Black","Rowers","Net weight","32.9","30 kg","Decide which is correct, then set the net_weight field to it",/product/c2-rower-model-d-pm5-black
malformed,1,"SCRWAR04","C2 Rower Model D PM5 Black","Rowers","Warranty","","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/c2-rower-model-d-pm5-black
malformed,1,"MSBMPL01","T-Bar Row Machine Pro (Incline)","Strength","Warranty","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/t-bar-row-machine-pro-incline
malformed,1,"MSBMSE04","Lat Pulldown & Seated Row Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/lat-pulldown-seated-row-machine-elite-selectorize
malformed,1,"MSCMDU01","Functional Trainer Pro","Strength","Warranty","","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/functional-trainer-pro
malformed,1,"MSCSSE01","Shoulder Press Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/shoulder-press-machine-elite-selectorize
malformed,1,"MSCSSE04","Multi Press Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/multi-press-machine-elite-selectorize
malformed,1,"MSLBSE01","Leg Extension Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/leg-extension-machine-elite-selectorize
malformed,1,"MSLBSE03","Abductor & Adductor Machine Elite (Selectorize)","Strength","Warranty","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths","Source reads ""(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/abductor-adductor-machine-elite-selectorize
