issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Gross weight","","3 kg","Copy ""3 kg"" into the gross_weight field",/product/abdominal-wheel
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/abdominal-wheel
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Assembled size","","600 x 15 x 1,400","Copy ""600 x 15 x 1,400"" into the assembled_size_length/width/height/depth field",/product/eva-exercise-mat-2
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Colour","","Dark Grey","Copy ""Dark Grey"" into the colour field",/product/eva-exercise-mat-2
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Material","","EVA Foam","Copy ""EVA Foam"" into the material field",/product/eva-exercise-mat-2
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Net weight","","2 kg","Copy ""2 kg"" into the net_weight field",/product/eva-exercise-mat-2
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Gross weight","","3 kg","Copy ""3 kg"" into the gross_weight field",/product/eva-exercise-mat-2
blob_only,3,"MBEMMA01","EVA Exercise Mat","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/eva-exercise-mat-2
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Assembled size","","610 x 750 x 510","Copy ""610 x 750 x 510"" into the assembled_size_length/width/height/depth field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Colour","","Black","Copy ""Black"" into the colour field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Material","","Hard wearing vinyl cover","Copy ""Hard wearing vinyl cover"" into the material field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Net weight","","34 kg","Copy ""34 kg"" into the net_weight field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Gross weight","","35 kg","Copy ""35 kg"" into the gross_weight field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Warranty","","Internal Frame: 12 months, Cover: 3 months","Copy ""Internal Frame: 12 months, Cover: 3 months"" into the warranty field",/product/3-in-1-foam-plyometric-box-34kg
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Assembled size","","420 x 750 x 420","Copy ""420 x 750 x 420"" into the assembled_size_length/width/height/depth field",/product/plyometric-box-set-of-4
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Colour","","Blue","Copy ""Blue"" into the colour field",/product/plyometric-box-set-of-4
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Material","","Steel, rubber, timber","Copy ""Steel, rubber, timber"" into the material field",/product/plyometric-box-set-of-4
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Net weight","","37 kg","Copy ""37 kg"" into the net_weight field",/product/plyometric-box-set-of-4
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Gross weight","","38 kg","Copy ""38 kg"" into the gross_weight field",/product/plyometric-box-set-of-4
blob_only,3,"MBPBMS01","Plyometric Box (Set of 4)","Body Weight","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/plyometric-box-set-of-4
blob_only,3,"MBRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Assembled size","","340 x 80","Copy ""340 x 80"" into the assembled_size_length/width/height/depth field",/product/knitted-resistance-bands-set-of-3
blob_only,3,"MBRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Material","","Fabric, Latex","Copy ""Fabric, Latex"" into the material field",/product/knitted-resistance-bands-set-of-3
blob_only,3,"MBRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/knitted-resistance-bands-set-of-3
blob_only,3,"MBRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Gross weight","","1 kg","Copy ""1 kg"" into the gross_weight field",/product/knitted-resistance-bands-set-of-3
blob_only,3,"MBRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/knitted-resistance-bands-set-of-3
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Assembled size","","50 x 1 x 610","Copy ""50 x 1 x 610"" into the assembled_size_length/width/height/depth field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Colour","","Red, Blue, Green, Black","Copy ""Red, Blue, Green, Black"" into the colour field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Material","","100% Latex Rubber","Copy ""100% Latex Rubber"" into the material field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Gross weight","","1 kg","Copy ""1 kg"" into the gross_weight field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPMI01","Micro Bands (Pack of 4)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/micro-bands-pack-of-4
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Assembled size","","1,040 x 64 x 5","Copy ""1,040 x 64 x 5"" into the assembled_size_length/width/height/depth field",/product/power-bands-pack-of-8
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Colour","","Orange, Red, Blue, Purple","Copy ""Orange, Red, Blue, Purple"" into the colour field",/product/power-bands-pack-of-8
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Material","","100% Latex Rubber","Copy ""100% Latex Rubber"" into the material field",/product/power-bands-pack-of-8
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Net weight","","3 kg","Copy ""3 kg"" into the net_weight field",/product/power-bands-pack-of-8
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Gross weight","","4 kg","Copy ""4 kg"" into the gross_weight field",/product/power-bands-pack-of-8
blob_only,3,"MBRPPO02","Power Bands (Pack of 8)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/power-bands-pack-of-8
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Assembled size","","100 x 100 x 4","Copy ""100 x 100 x 4"" into the assembled_size_length/width/height/depth field",/product/station-markers-set-of-5
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Colour","","Multiple colour options available","Copy ""Multiple colour options available"" into the colour field",/product/station-markers-set-of-5
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Material","","Silicone","Copy ""Silicone"" into the material field",/product/station-markers-set-of-5
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/station-markers-set-of-5
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Gross weight","","1 kg","Copy ""1 kg"" into the gross_weight field",/product/station-markers-set-of-5
blob_only,3,"MBSADO02","Station Markers (Set of 5)","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/station-markers-set-of-5
blob_only,3,"MBSAHD01","Lateral Endurance Hurdles (Set of 4)","Body Weight","Assembled size","","600 x 200 x 300","Copy ""600 x 200 x 300"" into the assembled_size_length/width/height/depth field",/product/lateral-endurance-hurdles-set-of-4
blob_only,3,"MBSAHD01","Lateral Endurance Hurdles (Set of 4)","Body Weight","Material","","Heavy Duty PVC and EPE","Copy ""Heavy Duty PVC and EPE"" into the material field",/product/lateral-endurance-hurdles-set-of-4
blob_only,3,"MBSAHD01","Lateral Endurance Hurdles (Set of 4)","Body Weight","Net weight","","20 kg","Copy ""20 kg"" into the net_weight field",/product/lateral-endurance-hurdles-set-of-4
blob_only,3,"MBSAHD01","Lateral Endurance Hurdles (Set of 4)","Body Weight","Gross weight","","21 kg","Copy ""21 kg"" into the gross_weight field",/product/lateral-endurance-hurdles-set-of-4
blob_only,3,"MBSAHD01","Lateral Endurance Hurdles (Set of 4)","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/lateral-endurance-hurdles-set-of-4
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Assembled size","","1,500","Copy ""1,500"" into the assembled_size_length/width/height/depth field",/product/speed-rope-elite
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Colour","","Silver, Black","Copy ""Silver, Black"" into the colour field",/product/speed-rope-elite
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Material","","Wire, Clear PVC","Copy ""Wire, Clear PVC"" into the material field",/product/speed-rope-elite
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/speed-rope-elite
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Gross weight","","2 kg","Copy ""2 kg"" into the gross_weight field",/product/speed-rope-elite
blob_only,3,"MBSARO01","Speed Rope (Elite)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/speed-rope-elite
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Assembled size","","1,600 x 80 x 120","Copy ""1,600 x 80 x 120"" into the assembled_size_length/width/height/depth field",/product/suspension-trainer-2
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Colour","","Black, Blue","Copy ""Black, Blue"" into the colour field",/product/suspension-trainer-2
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Material","","Nylon webbing","Copy ""Nylon webbing"" into the material field",/product/suspension-trainer-2
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Net weight","","5 kg","Copy ""5 kg"" into the net_weight field",/product/suspension-trainer-2
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Gross weight","","6 kg","Copy ""6 kg"" into the gross_weight field",/product/suspension-trainer-2
blob_only,3,"MBSUTR01","Suspension Trainer","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/suspension-trainer-2
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Assembled size","","1,250 x 520 x 1,200","Copy ""1,250 x 520 x 1,200"" into the assembled_size_length/width/height/depth field",/product/air-cycle-elite
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Colour","","Black","Copy ""Black"" into the colour field",/product/air-cycle-elite
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Material","","Aluminium, Steel","Copy ""Aluminium, Steel"" into the material field",/product/air-cycle-elite
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Net weight","","58 kg","Copy ""58 kg"" into the net_weight field",/product/air-cycle-elite
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Gross weight","","66 kg","Copy ""66 kg"" into the gross_weight field",/product/air-cycle-elite
blob_only,3,"MCBIAR05","Air Cycle Elite","Cardio","Warranty","","5 Years Frame, 2 Years Non-Wearable Parts","Copy ""5 Years Frame, 2 Years Non-Wearable Parts"" into the warranty field",/product/air-cycle-elite
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Assembled size","","2,540 x 510 x 990","Copy ""2,540 x 510 x 990"" into the assembled_size_length/width/height/depth field",/product/air-rower-pro
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Colour","","Black/Grey","Copy ""Black/Grey"" into the colour field",/product/air-rower-pro
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Material","","Aluminium, Steel","Copy ""Aluminium, Steel"" into the material field",/product/air-rower-pro
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Net weight","","43 kg","Copy ""43 kg"" into the net_weight field",/product/air-rower-pro
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Gross weight","","51 kg","Copy ""51 kg"" into the gross_weight field",/product/air-rower-pro
blob_only,3,"MCRWAR01","Air Rower Pro","Cardio","Warranty","","5 Years Frame, 2 Years Non-Wearable Parts","Copy ""5 Years Frame, 2 Years Non-Wearable Parts"" into the warranty field",/product/air-rower-pro
blob_only,3,"SCSTAR03","C2 Ski Erg PM5","Cardio","Colour","","Black","Copy ""Black"" into the colour field",/product/c2-ski-erg-pm5
blob_only,3,"SCSTAR03","C2 Ski Erg PM5","Cardio","Material","","Steel","Copy ""Steel"" into the material field",/product/c2-ski-erg-pm5
blob_only,3,"SCSTAR03","C2 Ski Erg PM5","Cardio","Gross weight","","27.5 kg","Copy ""27.5 kg"" into the gross_weight field",/product/c2-ski-erg-pm5
blob_only,3,"SCSTAR03","C2 Ski Erg PM5","Cardio","Warranty","","5 Years Frame, 2 Years Non-Wearable Parts","Copy ""5 Years Frame, 2 Years Non-Wearable Parts"" into the warranty field",/product/c2-ski-erg-pm5
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Assembled size","","150 x 150 x 900","Copy ""150 x 150 x 900"" into the assembled_size_length/width/height/depth field",/product/foam-roller-45cm-black
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Colour","","Dark Grey","Copy ""Dark Grey"" into the colour field",/product/foam-roller-45cm-black
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Material","","EVA","Copy ""EVA"" into the material field",/product/foam-roller-45cm-black
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Net weight","","6 kg","Copy ""6 kg"" into the net_weight field",/product/foam-roller-45cm-black
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Gross weight","","8 kg","Copy ""8 kg"" into the gross_weight field",/product/foam-roller-45cm-black
blob_only,3,"ABRMRL03","Foam Roller - 45cm (black)","Clearance","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/foam-roller-45cm-black
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Assembled size","","1,200 x 800 x 400","Copy ""1,200 x 800 x 400"" into the assembled_size_length/width/height/depth field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Net weight","","92 kg","Copy ""92 kg"" into the net_weight field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Gross weight","","95 kg","Copy ""95 kg"" into the gross_weight field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Assembled size","","450 x 460 x 240","Copy ""450 x 460 x 240"" into the assembled_size_length/width/height/depth field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Net weight","","26 kg","Copy ""26 kg"" into the net_weight field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Gross weight","","27 kg","Copy ""27 kg"" into the gross_weight field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/barbell-storage-box-9-bar-holder-versatile-2
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Assembled size","","330 x 590 x 1,570","Copy ""330 x 590 x 1,570"" into the assembled_size_length/width/height/depth field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Net weight","","12 kg","Copy ""12 kg"" into the net_weight field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Gross weight","","14 kg","Copy ""14 kg"" into the gross_weight field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/medicine-ball-rack-10-ball-double-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Assembled size","","580 x 550 x 1,150","Copy ""580 x 550 x 1,150"" into the assembled_size_length/width/height/depth field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Net weight","","50 kg","Copy ""50 kg"" into the net_weight field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Gross weight","","53 kg","Copy ""53 kg"" into the gross_weight field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/vertical-dumbbell-rack-portable-four-sided
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Assembled size","","570 x 100 x 100","Copy ""570 x 100 x 100"" into the assembled_size_length/width/height/depth field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Net weight","","3 kg","Copy ""3 kg"" into the net_weight field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Gross weight","","4 kg","Copy ""4 kg"" into the gross_weight field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/rope-band-rack-wall-mounted-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Assembled size","","1,200 x 800 x 400","Copy ""1,200 x 800 x 400"" into the assembled_size_length/width/height/depth field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Net weight","","126 kg","Copy ""126 kg"" into the net_weight field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Gross weight","","148 kg","Copy ""148 kg"" into the gross_weight field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/modular-storage-rack-kettlebells-dumbbells-hd-2-tier-1-2m-2
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Assembled size","","720 x 1,320 x 968","Copy ""720 x 1,320 x 968"" into the assembled_size_length/width/height/depth field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Net weight","","38 kg","Copy ""38 kg"" into the net_weight field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Gross weight","","40 kg","Copy ""40 kg"" into the gross_weight field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB01","Fixed Barbell Rack (5 Bar)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/fixed-barbell-rack-5-bar
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Assembled size","","450 x 460 x 240","Copy ""450 x 460 x 240"" into the assembled_size_length/width/height/depth field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Net weight","","26 kg","Copy ""26 kg"" into the net_weight field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Gross weight","","27 kg","Copy ""27 kg"" into the gross_weight field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/barbell-storage-box-9-bar-holder-versatile
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Assembled size","","330 x 590 x 1,570","Copy ""330 x 590 x 1,570"" into the assembled_size_length/width/height/depth field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Net weight","","12 kg","Copy ""12 kg"" into the net_weight field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Gross weight","","14 kg","Copy ""14 kg"" into the gross_weight field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/medicine-ball-rack-10-ball-double-sided-2
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Assembled size","","520 x 510 x 1,630","Copy ""520 x 510 x 1,630"" into the assembled_size_length/width/height/depth field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Net weight","","16 kg","Copy ""16 kg"" into the net_weight field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Gross weight","","18 kg","Copy ""18 kg"" into the gross_weight field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)","Equipment Storage","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/medicine-ball-rack-10-ball-single-sided
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Assembled size","","490 x 810 x 1,580","Copy ""490 x 810 x 1,580"" into the assembled_size_length/width/height/depth field",/product/medicine-ball-rack-5-ball-single-sided
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Colour","","Black","Copy ""Black"" into the colour field",/product/medicine-ball-rack-5-ball-single-sided
blob_only,3,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","Material","","Steel","Copy ""Steel"" into the material field",/product/medicine-ball-rack-5-ball-single-sided
