"Kind","Product Code","Name","Group","Fields","ERP W","ERP H","ERP D","ERP kg","Store W","Store H","Store D","Store kg"
"needs-measuring","CUSTOM04","Custom - Pro Bumper Plates - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM05","Custom - Competition Bumper Plates - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM06","Custom - Competition Bumper Plates - Laser (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM07","Custom - Change Plates - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM08","Custom - Change Plates - Laser (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM09","Custom - Urethane Fixed Dumbbells (Pair) - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM10","Custom - Urethane Fixed Dumbbells (Pair) - PVC (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM11","Custom - Rubber Fixed Barbells - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM12","Custom - Urethane Competition Kettlebell - PVC (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM13","Custom - Steel Competition Kettlebell - MOLD (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM14","Custom - Group Fitness Step - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM15","Custom - Medicine Ball - Print (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM16","Custom - Dead Ball - Print (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM17","Custom - High Grip Dead Ball - Print (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM18","Custom - Premium Rubber Hex Dumbbell - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","CUSTOM19","Custom - Olympic Barbells - Mold (per size)","Other Costs","","0","0","0","0","","","",""
"needs-measuring","FBRMRL09","Foam Roller Storage Rack (Wall Mounted)","Equipment Storage","","1","0.74","0.66","0","","","",""
"needs-measuring","FMDBUR18","Urethane Fixed Dumbbells (Pair) - 5kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR19","Urethane Fixed Dumbbells (Pair) - 7.5kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR20","Urethane Fixed Dumbbells (Pair) - 1kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR21","Urethane Fixed Dumbbells (Pair) - 2kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR22","Urethane Fixed Dumbbells (Pair) - 3kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR23","Urethane Fixed Dumbbells (Pair) - 4kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR25","Urethane Fixed Dumbbells (Pair) - 6kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR26","Urethane Fixed Dumbbells (Pair) - 7kg","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","FMDBUR27","Urethane Fixed Dumbbells (Pair) - 8kg","Mixed Implements","","0","0","0","0","","","",""
