"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"SRSPFW01","portal","L 1,652 × W 1,311 × H 2,125 mm","Steel","Grey","12"
"MRSPFW01","public","L 1,652 × W 1,311 × H 2,125 mm","Steel","Grey","12 months"
"MRSPFW02","public","L 2,035 × W 1,160 × H 2,275 mm","Steel","Black/Grey","12 months"
"SRSPFW03","portal","L 1,660 × W 730 × H 2,199 mm","Steel","Black","12"
"MRSPFW03","public","L 1,660 × W 730 × H 2,199 mm","Steel","Black","12 months"
"SRSPFW04","portal","L 1,735 × W 1,465 × H 2,442 mm","Steel","Black/Grey","12 months"
"MRSPFW04","public","L 1,735 × W 1,465 × H 2,442 mm","Steel","Black/Grey","12 months"
"MRSPFW05","public","L 2,047 × W 1,735 × H 2,442 mm","Steel","Black/Grey","12 months"
"MWPA15003","public","L 425 × W 425 × H 442 mm","Recycled rubber","Black","12 months"
"MWPA10003","public","L 400 × W 400 × H 340 mm","Recycled rubber","Black","12 months"
"SWBBOL08","portal","L 1,425 × W 570 × H 150 mm","Steel, Chrome","Silver","12"
"MWBBOL08","public","L 1,425 × W 570 × H 150 mm","Steel, Chrome","Silver","12 months"
"SWBBOL07","portal","L 2,270 × W 410 × H 60 mm","Steel","Silver","12"
"MWBBOL07","public","L 2,270 × W 410 × H 60 mm","Steel","Silver","12 months"
"SWBBOL09","portal","L 2,130 × W 75 × H 75 mm","Steel","Silver","12"
"MWBBOL09","public","L 2,130 × W 75 × H 75 mm","Steel","Silver","12 months"
"REFROP01","portal","L 760 × W 616 × H 1380 mm","Steel","Black","12 months"
"SEFROP03","portal","L 760 × W 616 × H 1,380 mm","Steel","Black","12"
"MEFROP03","public","L 760 × W 616 × H 1,380 mm","Steel","Black","12 months"
"SEFROP02","portal","L 640 × W 614 × H 1,358 mm","Steel","Black","12"
"MEFROP02","public","L 640 × W 614 × H 1,358 mm","Steel","Black","12 months"
"SEFROP04","portal","L 710 × W 420 × H 1,240 mm","Steel","Black","12"
"MEFROP04","public","L 710 × W 420 × H 1,240 mm","Steel","Black","12 months"
"MBGYSL01","public","L 462 × W 280 × H 352 mm","Steel","Black","12 months"
"SBGYSL01","portal","L 462 × W 280 × H 352 mm","Steel","Black","12"
"MBPBMS01","public","W 420 × H 750 × D 420 mm","Steel, rubber, timber","Blue","12 months"
"SBPBMS01","portal","W 420 × H 750 × D 420 mm","Steel, rubber, timber","Blue","12 months"
"ABPBSB04","public","L 850 × W 1,000 × H 305 mm","Vinyl, Foam","Black","6"
"MMPA4BG01","public","L 640 × W 905 × H 230 mm","PVC, Nylon","Black/Green, Black/Yellow, Black/Blue, Black/Red","6 months"
"MBRPPO01","public","L 1,040 × W 64 × D 5 mm","100% Latex Rubber","Orange, Red, Blue, Purple","3 months"
"SBRPPO01","portal","L 1,040 × W 64 × D 5 mm","100% Latex Rubber","Orange, Red, Blue, Purple","3"
"MBRPPO02","public","L 1,040 × W 64 × D 5 mm","100% Latex Rubber","Orange, Red, Blue, Purple","3 months"
"SBRPPO02","portal","L 1,040 × W 64 × D 5 mm","100% Latex Rubber","Orange, Red, Blue, Purple","3 months"
"MMSLSD01","public","L 1,000 × W 610 × H 980 mm","Steel","Black","12 months"
"SMSLSD01","portal","L 1,000 × W 610 × H 980 mm","Steel","Black","12 months"
"SERK153001","portal","L 1,520 × W 310 × H 310 mm","Steel","Black","12 months"
"RERK153001","portal","L 1500 × H 1400 × D 300 mm","Steel","Black","12 months"
"RLLE2502","portal","L 3 × W 3 × H 0.01 mm","Plastic","White","12 months"
"RLLE2501","portal","L 2390 × H 75 × D 75 mm","Aluminium Alloy","Black","36 months"
"MRCTATT01","public","L 543 × W 118 × H 118 mm","Steel","Black","12 months"
"SRCTATT01","portal","L 543 × W 118 × H 118 mm","Steel","Black","12"
"RBCTFS01","portal","L 543 × W 118 × H 118 mm","Steel","Blacl","12 months"
"SRSPATT01","portal","L 1,080 × W 65 × H 160 mm","Steel","Black","12"
"MRSPATT01","public","L 1,080 × W 65 × H 160 mm","Steel","Black","12 months"
"SRSPATT02","portal","L 1,520 × W 65 × H 160 mm","Steel","Black","12"
"MRSPATT02","public","L 1,520 × W 65 × H 160 mm","Steel","Black","12 months"
"MRSPATT04","public","L 700 × W 580 × H 230 mm","Steel","Black","12 months"
"RRSPATT04","portal","L 700 × W 580 × H 230 mm","Steel","Black","12 months"
"SRSPATT04","portal","L 700 × W 580 × H 230 mm","Steel","Black","12"
"MRSPATT05","public","W 77 × H 210 × D 106 mm","Steel","Black","12 months"
"RRSPATT05","portal","W 77 × H 210 × D 106 mm","Steel","Black","12 months"
"SRSPATT05","portal","W 77 × H 210 × D 106 mm","Steel","Black","12"
"MRWAATT01","public","L 815 × W 180 × H 208 mm","Steel","Black","12 months"
"SRWAATT01","portal","L 815 × W 180 × H 208 mm","Steel","Black","12"
"RRWAATT01","portal","L 815 × W 180 × H 208 mm","Steel","Black","12 months"
