"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"ABCTDR01","public","W 59 × H 125 × D 400 mm","Steel","Black","12 months"
"MBCTDR01","public","W 59 × H 125 × D 400 mm","Steel","Black","12 months"
"SBCTDR01","portal","W 59 × H 125 × D 400 mm","Steel","Black","12 months"
"MWWLMA01","public","L 750 × W 600 × H 150 mm","Foam, Vinyl","Black","3 months"
"SWWLMA01","portal","L 750 × W 600 × H 150 mm","Foam, Vinyl","Black","3 months"
"ABEMMA01","public","W 600 × H 15 × D 1,400 mm","EVA Foam","Dark Grey","6 months"
"MBEMMA01","public","W 600 × H 15 × D 1,400 mm","EVA Foam","Dark Grey","6 months"
"SBEMMA01","portal","W 600 × H 15 × D 1,400 mm","EVA Foam","Dark Grey","6 months"
"MBCTDI01","public","L 190 × W 216 mm","","Black/yellow","6 months"
"SBCTDI01","portal","L 190 × W 216 mm","","Black/yellow","6"
"SEWMMA01","portal","W 570 × H 100 × D 100 mm","Steel","Black","12 months"
"MEWMMA01","public","W 570 × H 100 × D 100 mm","Steel","Black","12 months"
"MMFWTL01","public","L 1,800 × W 120 × H 220 mm","Steel","Black","12 months"
"SMFWTL01","portal","L 1,800 × W 120 × H 220 mm","Steel","Black","12"
"MBBSTR01","public","W 700 × H 250 × D 700 mm","PVC","Blue/Black","6 months"
"SBBSTR01","portal","W 700 × H 250 × D 700 mm","PVC","Blue/Black","6 months"
"SEWMBL01","portal","W 1,960 × H 270 × D 688 mm","Steel","Black","12 months"
"MEWMBL01","public","W 1,960 × H 270 × D 688 mm","Steel","Black","12 months"
"SEFRBB02","portal","W 940 × H 1,350 × D 930 mm","Steel","Black","12"
"MEFRBB02","public","W 940 × H 1,350 × D 930 mm","Steel","Black","12 months"
"SEFRBB03","portal","W 940 × H 1,350 × D 930 mm","Steel","Black","12"
"MEFRBB03","public","W 940 × H 1,350 × D 930 mm","Steel","Black","12 months"
"SEFRBB01","portal","W 720 × H 1,320 × D 968 mm","Steel","Black","12 months"
"MEFRBB01","public","W 720 × H 1,320 × D 968 mm","Steel","Black","12 months"
"SSWBFW01","portal","L 1,170 × W 515 × H 452 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"RSWBFW01","portal","L 1170 × W 515 × H 452 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"MSWBFW01","public","L 1,170 × W 515 × H 452 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"MBRMRL03","public","L 330 × W 140 × H 140 mm","EVA","Black","6 months"
"RBRMRL02","portal","L 330 × W 140 × H 140 mm","EVA","Black","6 months"
"SBRMRL03","portal","L 330 × W 140 × H 140 mm","EVA","Black","6"
"ABRMRL03","public","W 150 × H 150 × D 900 mm","EVA","Dark Grey","3 months"
"SEWMRL01","portal","W 100 × H 1,315 × D 169 mm","Steel","Black","12"
"MEWMRL01","public","W 100 × H 1,315 × D 169 mm","Steel","Black","12 months"
"MSCMDU01","public","L 2,070 × W 1,220 × H 2300 mm","Steel, HDPE","Tungsten (metallic silver gray)","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics- 3 months"
"MMGFPS03","public","W 330 × H 330 × D 1,400 mm","Rubber, Steel","Black","12 months"
"SMGFPS03","portal","W 330 × H 330 × D 1,400 mm","Rubber, Steel","Black","12"
"MMGFPS02","public","W 330 × H 330 × D 1,400 mm","Rubber, Steel","Black","12 months"
"SMGFPS02","portal","W 330 × H 330 × D 1,400 mm","Rubber, Steel","Black","12 months"
"MMGFPS01","public","L 35 × W 35 × H 20 mm","Nylon resin","Black","3 months"
"SMGFPS01","portal","L 35 × W 35 × H 20 mm","Nylon resin","Black","3 months"
"SEFRPS01","portal","L 700 × W 620 × H 1,440 mm","","",""
"MEFRPS01","public","L 700 × W 620 × H 1,440 mm","","",""
"MMPAPS01","public","W 530 × H 1,420 × D 790 mm","Rubber, Steel","Black","12 months"
"MMPAPS02","public","W 530 × H 1,420 × D 790 mm","Rubber, Steel","Black","12 months"
"MBASADJ01","public","L 1,200 × W 310 × H 200-350mm mm","PP & TPE","Grey/Black","12 months"
"SBASADJ01","portal","L 1,200 × W 310 × H 200-350mm mm","PP & TPE","Grey/Black","12 months"
"RBGYRI01","portal","L 2750 × W 250 × D 28 mm","Birch wood, Nylon","Black/Brown","6 months"
"MBGYRI01","public","L 2,750 × W 250 × D 28 mm","Birch wood, Nylon","Black/Brown","6 months"
"SBGYRI01","portal","L 2,750 × W 250 × D 28 mm","Birch wood, Nylon","Black/Brown","6"
"MSLBSE04","public","L 1,830 × W 1,359 × H 1,602 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
"SEWMBB01","portal","L 1,275 × H 950 × D 50 mm","Steel","Black","12"
"MEWMBB01","public","L 1,275 × H 950 × D 50 mm","Steel","Black","12 months"
"SEFRDB08","portal","W 2,200 × H 860 × D 710 mm","Steel","Black","12"
"MEFRDB08","public","W 2,200 × H 860 × D 710 mm","Steel","Black","12 months"
"SEFRDB11","portal","W 2,620 × H 650 × D 820 mm","Steel","Black","12"
"MEFRDB11","public","W 2,620 × H 650 × D 820 mm","Steel","Black","12 months"
"SEFRDB13","portal","L 2,680 × W 840 × H 300 mm","Steel","Black","12 months"
"SEFRDB07","portal","W 1,110 × H 665 × D 808 mm","Steel","Black","12 months"
"MEFRDB07","public","W 1,110 × H 665 × D 808 mm","Steel","Black","12 months"
"SEFRDB10","portal","W 1,450 × H 650 × D 820 mm","Steel","Black","12"
"MEFRDB10","public","W 1,450 × H 650 × D 820 mm","Steel","Black","12 months"
"SEFRDB09","portal","W 2,460 × H 965 × D 740 mm","Steel","Black","12"
"MEFRDB09","public","W 2,460 × H 965 × D 740 mm","Steel","Black","12 months"
"SEFRKB01","portal","W 1,200 × H 850 × D 650 mm","Steel","Black","12 months"
"MEFRKB01","public","W 1,200 × H 850 × D 650 mm","Steel","Black","12 months"
"SEFRKB02","portal","W 1,110 × H 665 × D 815 mm","Steel","Black","12"
"MEFRKB02","public","W 1,110 × H 665 × D 815 mm","Steel","Black","12 months"
"SEFRKB03","portal","W 1,110 × H 665 × D 815 mm","Steel","Black","12"
"MEFRKB03","public","W 1,110 × H 665 × D 815 mm","Steel","Black","12 months"
"MBRPBA01","public","L 340 × W 80 mm","Fabric, Latex","","3 months"
"ABRPBA01","public","L 340 × W 80 mm","Fabric, Latex","","3 months"
"SBRPBA01","portal","L 340 × W 80 mm","Fabric, Latex","","3 months"
