ProductCode,ProductDescription,UnitOfMeasure,ProductGroup,ProductBrand,DefaultSellPrice,woo_price_UNVERIFIED,mk_equivalent,mk_erp_price
SMDBRH12,Rubber Hex Dumbbells - 10kg,KG,Mixed Implements,SNAP,,32,MMDBRH12,45.4545
SMDBVR18,Virgin Rubber Fixed Dumbbells - 50kg,KG,Mixed Implements,SNAP,,420,MMDBVR18,590.9091
SMDBVR17,Virgin Rubber Fixed Dumbbells - 47.5kg,KG,Mixed Implements,SNAP,,399,MMDBVR17,561.3636
SMDBVR16,Virgin Rubber Fixed Dumbbells - 45kg,KG,Mixed Implements,SNAP,,378,MMDBVR16,531.8182
SMDBVR15,Virgin Rubber Fixed Dumbbells - 42.5kg,KG,Mixed Implements,SNAP,,357,MMDBVR15,502.2727
SMDBVR14,Virgin Rubber Fixed Dumbbells - 40kg,KG,Mixed Implements,SNAP,,336,MMDBVR14,472.7273
SMDBVR13,Virgin Rubber Fixed Dumbbells - 37.5kg,KG,Mixed Implements,SNAP,,315,MMDBVR13,443.1818
SMDBVR12,Virgin Rubber Fixed Dumbbells - 35kg,KG,Mixed Implements,SNAP,,294,MMDBVR12,413.6364
SMDBVR11,Virgin Rubber Fixed Dumbbells - 32.5kg,KG,Mixed Implements,SNAP,,273,MMDBVR11,384.0909
SMDBVR10,Virgin Rubber Fixed Dumbbells - 30kg,KG,Mixed Implements,SNAP,,252,MMDBVR10,354.5455
SMDBVR09,Virgin Rubber Fixed Dumbbells - 27.5kg,KG,Mixed Implements,SNAP,,231,MMDBVR09,325.0
SMDBVR08,Virgin Rubber Fixed Dumbbells - 25kg,KG,Mixed Implements,SNAP,,210,MMDBVR08,295.4545
SMDBVR07,Virgin Rubber Fixed Dumbbells - 22.5kg,KG,Mixed Implements,SNAP,,189,MMDBVR07,265.9091
SMDBVR06,Virgin Rubber Fixed Dumbbells - 20kg,KG,Mixed Implements,SNAP,,168,MMDBVR06,236.3636
SMDBVR05,Virgin Rubber Fixed Dumbbells - 17.5kg,KG,Mixed Implements,SNAP,,147,MMDBVR05,206.8182
SMDBVR04,Virgin Rubber Fixed Dumbbells - 15kg,KG,Mixed Implements,SNAP,,126,MMDBVR04,177.2727
SMDBVR03,Virgin Rubber Fixed Dumbbells - 12.5kg,KG,Mixed Implements,SNAP,,105,MMDBVR03,147.7273
SMDBVR02,Virgin Rubber Fixed Dumbbells - 10kg,KG,Mixed Implements,SNAP,,84,MMDBVR02,118.1818
