Group,Sub-group,Card,Level,Product code,Product name,Problem,Unleashed field,What the customer sees
"Strength","Lower Body Machines","Multi Dead Lift","card","MSLBPL08 / MSLBPL21","Multi Dead Lift  vs  Multi Deadlift","TWO CARDS, ONE PRODUCT","Product > Product Description","""Multi Dead Lift"" (1 size) and ""Multi Deadlift"" (1) draw separate cards — the same name punctuated two ways. Make the names identical and they merge into one card with one picker."
"Strength","Lower Body Machines","Standing Hip Thurst","card","MSLBPL04 / MSLBPL28","Standing Hip Thurst  vs  Standing Hip Thrust","TWO CARDS, ONE PRODUCT","Product > Product Description","""Standing Hip Thurst"" (1 size) and ""Standing Hip Thrust"" (2) draw separate cards — one word apart, ""thurst"" vs ""thrust"". Make the names identical and they merge into one card with one picker."
"Weightlifting","Lifting Platform","Lifting Plus Integrated Platform","card","MWLPFS01","Lifting Plus Integrated Platform","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/lifting-plus-integrated-platform"
"Weightlifting","Weight Plates","Olympic Urethane Weight Plates (4 Grip)","card","MWWPOU10","Olympic Urethane Weight Plates (4 Grip) - 15kg","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/olympic-urethane-weight-plates-4-grip"
"Weightlifting","Weightlifting Accessories","Technique/Training Pipe","card","MWWLPVC01","Technique/Training Pipe","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/technique-training-pipe"
"Weightlifting","Weight Plates","Change Plates","size","MWWPCP03","Change Plates - 0.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/change-plates shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Change Plates","size","MWWPCP04","Change Plates - 1kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/change-plates shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Change Plates","size","MWWPCP05","Change Plates - 1.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/change-plates shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Change Plates","size","MWWPCP06","Change Plates - 2kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/change-plates shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR21","Fixed PU Curl Barbell - 7.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR22","Fixed PU Curl Barbell - 10kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR23","Fixed PU Curl Barbell - 12.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR24","Fixed PU Curl Barbell - 15kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
