*Product Code,Width,Height,Depth,Weight
SRSPSE01,,,,450
MWPA15001,,,,160
MWPA9001,,,,100
MWPA10001,,,,110
MWPA14001,,,,155
MWPA15002,,,,160
MWPA10002,,,,110
MWPA14002,,,,155
ABRMRL03,,,,8
SEFRDB13,,,,112
SLLE2502,,,,0.5
SLLE2501,,,,6
SEFRACC12,,,,110
SRSPFW01,,,,130
SRSPFW03,,,,58
SRSPFW04,,,,196
MWPA15003,,,,160
MWPA10003,,,,110
MWPAFRU01,120,30,100,298
MWPAFRU02,120,26,100,148
MCSTACC01,,,,20
SEFRDB12,,,,64
MWWAACC01,,,,4
SWWAACC01,,,,4
