*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
FWWPOU14,Olympic Urethane Weight Plates (4 Grip) - 5kg,,FWWPOU14,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,16.0729,,,40.9091,0.0000,27.7353,30.5089,31.8956,32.3554,35.5909,36.8182,40.9091,38.9522,31.4685,40.9091,,6.000,26,4.7,26,,0.0000,,,False,False,No,Weightlifting,Weight Plates,FERNWOOD,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR03,Olympic Premium Rubber Weight Plates (3 Grip) - 5kg,,MWWPOPR03,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,10.6276,,,25.4545,0.0000,16.5455,17.8182,19.0909,20.3636,21.6364,22.9091,25.4545,13.7487,19.5800,25.4500,,6.000,26,4.7,26,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR04,Olympic Premium Rubber Weight Plates (3 Grip) - 10kg,,MWWPOPR04,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,21.2552,,,50.9091,0.0000,33.0909,35.6364,38.1818,40.7273,43.2727,45.8182,50.9091,27.4973,39.1600,50.9100,,11.000,33.2,5,33.2,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR05,Olympic Premium Rubber Weight Plates (3 Grip) - 15kg,,MWWPOPR05,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,31.8828,,,76.3636,0.0000,49.6364,53.4545,57.2727,61.0909,64.9091,68.7273,76.3636,41.2460,58.7400,76.3600,,16.000,36.5,5.4,36.5,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR06,Olympic Premium Rubber Weight Plates (3 Grip) - 20kg,,MWWPOPR06,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,42.5104,,,101.8182,0.0000,66.1818,71.2727,76.3636,81.4545,86.5455,91.6364,101.8182,54.9946,78.3200,101.8200,,21.000,41,5.9,41,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOPR07,Olympic Premium Rubber Weight Plates (3 Grip) - 25kg,,MWWPOPR07,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,53.1379,,,127.2727,0.0000,82.7273,89.0909,95.4545,101.8182,108.1818,114.5455,127.2727,68.7433,97.9000,127.2700,,26.000,43.5,6.1,43.5,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU03,Olympic Urethane Weight Plates (3 Grip) - 5kg,,MWWPOU03,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,16.0729,,,36.3636,0.0000,24.6921,25.4545,27.2727,29.0909,30.9091,32.7273,36.3636,23.3654,27.9700,36.3600,,6.000,26,4.7,26,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU04,Olympic Urethane Weight Plates (3 Grip) - 10kg,,MWWPOU04,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,32.1457,,,72.7273,0.0000,49.3842,50.9091,54.5455,58.1818,61.8182,65.4545,72.7273,46.7308,55.9400,72.7300,,11.000,33.2,5,33.2,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU05,Olympic Urethane Weight Plates (3 Grip) - 15kg,,MWWPOU05,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,48.2186,,,109.0909,0.0000,74.0762,76.3636,81.8182,87.2727,92.7273,98.1818,109.0909,70.0962,83.9200,109.0900,,16.000,36.5,5.4,36.5,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU06,Olympic Urethane Weight Plates (3 Grip) - 20kg,,MWWPOU06,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,64.2914,,,145.4545,0.0000,98.7683,101.8182,109.0909,116.3636,123.6364,130.9091,145.4545,93.4615,111.8900,145.4500,,21.000,41,5.9,41,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
MWWPOU07,Olympic Urethane Weight Plates (3 Grip) - 25kg,,MWWPOU07,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,80.3643,,,181.8182,0.0000,123.4604,127.2727,136.3636,145.4545,154.5455,163.6364,181.8182,116.8269,139.8600,181.8200,,26.000,43.5,6.1,43.5,,,,,False,False,No,Weightlifting,Weight Plates,MK,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOPR03,Olympic Premium Rubber Weight Plates (3 Grip) - 5kg,,SWWPOPR03,KG,,,,,,Order Quantity,Order Quantity,,,,10.6276,,,25.4545,0.0000,16.5455,17.8182,19.0909,20.3636,21.6364,22.9091,25.4545,13.7487,19.5800,25.4500,,6.000,26,4.7,26,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOPR04,Olympic Premium Rubber Weight Plates (3 Grip) - 10kg,,SWWPOPR04,KG,,,,,,Order Quantity,Order Quantity,,,,21.2552,,,50.9091,0.0000,33.0909,35.6364,38.1818,40.7273,43.2727,45.8182,50.9091,27.4973,39.1600,50.9100,,11.000,33.2,5,33.2,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOPR05,Olympic Premium Rubber Weight Plates (3 Grip) - 15kg,,SWWPOPR05,KG,,,,,,Order Quantity,Order Quantity,,,,31.8828,,,76.3636,0.0000,49.6364,53.4545,57.2727,61.0909,64.9091,68.7273,76.3636,41.2460,58.7400,76.3600,,16.000,36.5,5.4,36.5,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOPR06,Olympic Premium Rubber Weight Plates (3 Grip) - 20kg,,SWWPOPR06,KG,,,,,,Order Quantity,Order Quantity,,,,42.5104,,,101.8182,0.0000,66.1818,71.2727,76.3636,81.4545,86.5455,91.6364,101.8182,54.9946,78.3200,101.8200,,21.000,41,5.9,41,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOPR07,Olympic Premium Rubber Weight Plates (3 Grip) - 25kg,,SWWPOPR07,KG,,,,,,Order Quantity,Order Quantity,,,,53.1379,,,127.2727,0.0000,82.7273,89.0909,95.4545,101.8182,108.1818,114.5455,127.2727,68.7433,97.9000,127.2700,,26.000,43.5,6.1,43.5,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOU03,Olympic Urethane Weight Plates (3 Grip) - 5kg,,SWWPOU03,KG,,,,,,Order Quantity,Order Quantity,,,,16.0729,,,36.3636,0.0000,24.6921,25.4545,27.2727,29.0909,30.9091,32.7273,36.3636,23.3654,27.9700,36.3600,,6.000,26,4.7,26,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOU04,Olympic Urethane Weight Plates (3 Grip) - 10kg,,SWWPOU04,KG,,,,,,Order Quantity,Order Quantity,,,,32.1457,,,72.7273,0.0000,49.3842,50.9091,54.5455,58.1818,61.8182,65.4545,72.7273,46.7308,55.9400,72.7300,,11.000,33.2,5,33.2,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOU05,Olympic Urethane Weight Plates (3 Grip) - 15kg,,SWWPOU05,KG,,,,,,Order Quantity,Order Quantity,,,,48.2186,,,109.0909,0.0000,74.0762,76.3636,81.8182,87.2727,92.7273,98.1818,109.0909,70.0962,83.9200,109.0900,,16.000,36.5,5.4,36.5,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOU06,Olympic Urethane Weight Plates (3 Grip) - 20kg,,SWWPOU06,KG,,,,,,Order Quantity,Order Quantity,,,,64.2914,,,145.4545,0.0000,98.7683,101.8182,109.0909,116.3636,123.6364,130.9091,145.4545,93.4615,111.8900,145.4500,,21.000,41,5.9,41,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
SWWPOU07,Olympic Urethane Weight Plates (3 Grip) - 25kg,,SWWPOU07,KG,,,,,,Order Quantity,Order Quantity,,,,80.3643,,,181.8182,0.0000,123.4604,127.2727,136.3636,145.4545,154.5455,163.6364,181.8182,116.8269,139.8600,181.8200,,26.000,43.5,6.1,43.5,,,,,False,False,No,Weightlifting,Weight Plates,SNAP,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
